,cluster,title
29102,4,Harnessing Uncertain Data Structure. (Exploitation de la structure des donn&eacute;es incertaines).
29103,4,Simplicial homology: applied to wireless networks. (Homologie simpliciale appliqu&eacute;e aux r&eacute;seaux sans fil).
29104,4,Interaction entre symbolique et num&eacute;rique : application &agrave; la vision artificielle. (Interaction between Symbolic and numerical Computation; Application to Computer Vision).
29105,4,Algorithmes bio-inspir&eacute;s pour la traduction automatique statistique. (Bio-inspired Algorithms for Statistical Machine Translation).
29106,4,Mapping of large task network on manycore architecture. (Placement de graphes de t&acirc;ches de grande taille sur architectures massivement multicoeurs).
29108,4,Ing&eacute;nierie Concurrente en G&eacute;nie Logiciel: C&eacute;line. (Concurrent Engineering in Software Engineering: Celine).
29109,4,De la construction de preuves &agrave; la programmation parall&egrave;le en logique lin&eacute;aire. (From Proof Construction to Concurrent Programming in Linear Logic).
29111,4,Mod&egrave;les biom&eacute;caniques pour la simulation interactive de l'accouchement. (Biomechanical models for interactive childbirth simulation).
29112,4,Contributions &agrave; l'&eacute;tude des arrangements: Equivalences combinatoires et perturbations. (Contributions to the study of arrangements: Combinatorial equivalences and perturbations).
29113,4,De l'extraction des connaissances &agrave; la recommandation. (From knowledge extraction to recommender system).
29114,4,Contributions for Resource and Job Management in High Performance Computing. (Contributions &agrave; la Gestion de Ressources et de T&acirc;ches pour le Calcul de Haute Performance).
29115,4,Constraint Programming Models for Conceptual Clustering: Application to an ERP Configuration Problem. (Mod&egrave;les de programmation par contraintes pour le clustering conceptuel: application &agrave; un probl&egrave;me de configuration d'ERP).
29116,4,D&eacute;couverte automatique de mod&egrave;les effectifs (Automatic Effective Model Discovery).
29117,4,Positionnement robuste et pr&eacute;cis de r&eacute;seaux d'images. (Robust and accurate calibration of camera networks).
29119,4,M&eacute;canismes de tassement du ballast et sa variabilit&eacute;. (Mechanisms of ballast settlement and its variability).
29120,4,Sparse and Scale-Invariant Methods in Image Processing. (M&eacute;thodes parcimonieuses et invariantes d'&eacute;chelle en traitement d'image).
29121,4,Exploration de la reconnaissance de la courbure membranaire par le motif ALPS. (Exploring the recognition of membrane curvature by the ALPS motif).
29123,4,3D topography by image segmentation approach : application to scanning electron microscopy. (Topographie 3D par approche segmentation : application au microscope &eacute;lectronique &agrave; balayage).
29124,4,Simulations orient&eacute;es-interaction des syst&egrave;mes complexes. (Interaction-oriented design of complex systems simulations).
29125,4,Transcription automatique de la parole spontan&eacute;e. (Automatic transcription of spontaneous speech).
29126,4,WDM Core Networks : regenerator placement and green networking. (R&eacute;seaux de Transport WDM: Planification de R&eacute;seaux Translucides et Economie d'Energie).
29127,4,Incrementality and effect simulation in the simply typed lambda calculus. (Incr&eacute;mentalit&eacute; et simulation d'effets dans le lambda calcul simplement typ&eacute;).
29128,4,Inter-Operative Biopsy Site Relocalization in Gastroscopy: Application to Oesophagus. (Relocalisation de site de biopsie en gastroscopie: application &agrave; l'&#339;sophage).
29129,4,Recherche d'information sur Internet par algorithmes &eacute;volutionnaires. (Searching for information on Internet with evolutionary algorithms).
29130,4,Algorithms for elementary path problem: application to kidney exchange. (Algorithmes de chemin &eacute;l&eacute;mentaire : application aux &eacute;changes de reins).
29131,4,"Saline structure, circulation and suspended sediment transport in a channelized salt-wedge estuary : the Adour river estuary. (Structure saline, circulation et transport des s&eacute;diments en suspension dans un estuaire &agrave; coin sal&eacute; chenalis&eacute; : L'estuaire de l'Adour)."
29133,4,Dialogue Homme-Machine : Mod&eacute;lisation de multisession. (Human-Machine Dialogue : Multisession modeling).
29134,4,Archivage S&eacute;curis&eacute; d'Images. (Secured image storage).
29135,4,Analyse statique pour l'optimisation des mises &agrave; jour de documents XML temporels. (Static analysis for optimizing the update of large temporal XML documents).
29136,4,Towards Spectral Mathematical Morphology. (Vers la morphologie math&eacute;matique spectrale).
29137,4,Apport des dispositifs de restauration de la vision et de la r&eacute;solution temporelle. (Contribution of vision restoration devices and temporal resolution).
29138,4,Approche hybride pour le r&eacute;sum&eacute; automatique de textes. Application &agrave; la langue arabe. (Hybrid approach for the automatic abstract of texts. Application with the Arab language).
29139,4,Interpr&eacute;tation interactive de documents structur&eacute;s : application &agrave; la r&eacute;troconversion de plans d'architecture manuscrits. (Interactive interpretation of structured documents: application to the retro-conversion of handwritten architectural plans).
29140,4,Recalage d&eacute;formable de projections de scanner X &agrave; faisceau conique. (Deformable registration of cone-beam projections).
29141,4,"Partitionnement, recouvrement et colorabilit&eacute; dans les graphes. (Partitionability, coverability and colorability in graphs)."
29143,4,Addressing the Challenges of I/O Variability in Post-Petascale HPC Simulations. (Relever les d&eacute;fis de la variabilit&eacute; des E/S dans les simulations HPC post-petaflopiques).
29144,4,Analyse conjointe texte et image pour la caract&eacute;risation de films d'animation. (text and image information fusion for animated movie characterization).
29146,4,Programmation fonctionnelle certifi&eacute;e : L'extraction de programmes dans l'assistant Coq. (Certified functional programming : Program extraction within Coq proof assistant).
29147,4,Transfer Learning with Kernel Methods. (Transfert d'apprentissage et m&eacute;thodes &agrave; noyau).
29149,4,Decision Making for Ontology Matching under the Theory of Belief Functions. (Prise de d&eacute;cision pour l'appariement d'ontologies avec la th&eacute;orie des fonctions de croyance).
